"PeakNumber";"Group";"CompoundName";"Isomer";"Class";"TechnicalMixture";"DetectedinPacificDolphin";"SpectrumFilename";"Identification";"Comment";"FragmentIdentification";"Formula";"RetentionTime1D";"RetentionTime2D";"TypicallyMonitored";"Instrument"
756;14;"DDMU";"DDMU 4";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1303.1;1.135;FALSE;"GCxGC-TOF, EI, 70 eV"
772;14;"DDMU";"DDMU 5";"known degradation product ";"DDT 500PPM";TRUE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1320.59;1.142;FALSE;"GCxGC-TOF, EI, 70 eV"
791;14;"DDMU";"DDMU 6";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1331.08;1.195;FALSE;"GCxGC-TOF, EI, 70 eV"
814;14;"DDMU";"p,p'-DDMU";"known degradation product ";"DDT 500PPM";TRUE;14;"Authentic MS RT";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1345.07;1.155;TRUE;"GCxGC-TOF, EI, 70 eV"
859;14;"DDMU";"DDMU 7";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1369.56;1.195;FALSE;"GCxGC-TOF, EI, 70 eV"
873;14;"DDMU";"DDMU 8";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1376.56;1.195;FALSE;"GCxGC-TOF, EI, 70 eV"
933;14;"DDMU";"DDMU 9";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1418.53;1.016;FALSE;"GCxGC-TOF, EI, 70 eV"
946;14;"DDMU";"DDMU 10";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1425.53;1.228;FALSE;"GCxGC-TOF, EI, 70 eV"
974;14;"DDMU";"DDMU 11";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1436.02;1.016;FALSE;"GCxGC-TOF, EI, 70 eV"
1012;14;"DDMU";"DDMU 12";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1450.01;1.175;FALSE;"GCxGC-TOF, EI, 70 eV"
